statement,disease
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই হারায়া যাইবো।,Black Band of Jute
আমার পাটের গাছগুলার সবগুলাই সমানভাবে কালা দাগে আক্রান্ত।,Black Band of Jute
এই কালো পট্টি রোগটা আমার সব সম্মানই নষ্ট কইরা দিলো।,Black Band of Jute
আমার পাটের কাণ্ড দেইখা মনে হইতাছে এইবার আর ঋণ করা ছাড়া কোনো পথই নাই। 😫,Black Band of Jute
এই কালা দাগ রোগটা কি পাটের এই জাতটার কোনো দুর্বলতা?,Black Band of Jute
আমার পাটের এই কালা দাগ রোগটা কি পাটের সব জাতকেই সমানভাবে ধরে?,Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই শেষ হইয়া যাইবো।,Black Band of Jute
"আমার পাটের জমিতে এইবার এই কালা দাগওয়ালা গাছ এত বেশি যে, আর কোনো কিছুই করার মতো অবস্থায় নাই।",Black Band of Jute
এই কালো পট্টি রোগের কারণে আমার পাটের গাছগুলা আর কোনোদিনও ভালো দেখতে হইবো না।,Black Band of Jute
"আমার পাটের কাণ্ড সব কালা হইয়া এমন হইছে যে, আর কোনো কিছুই করার মতো অবস্থায় নাই।",Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই হারায়া যাইবো।,Black Band of Jute
আমার পাটের গাছগুলার সবগুলাই সমানভাবে দুর্বল হইয়া গেছে।,Black Band of Jute
এই কালো পট্টি রোগটা আমার সব মান সম্মানই নষ্ট কইরা দিলো।,Black Band of Jute
আমার পাটের কাণ্ড দেইখা মনে হইতাছে এইবার আর দেনা করা ছাড়া কোনো পথ নাই।,Black Band of Jute
এই কালা দাগ রোগটা কি পাটের এই জাতটারই কোনো সমস্যা?,Black Band of Jute
আমার পাটের এই কালা দাগ রোগটা কি পাটের সব জাতকেই সমানভাবে নষ্ট করে?,Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই শেষ হইয়া যাইবো।,Black Band of Jute
"আমার পাটের জমিতে এইবার এই কালা দাগওয়ালা গাছ এত বেশি যে, আর কোনো কিছুই করার মতো অবস্থায় নাই।",Black Band of Jute
এই কালো পট্টি রোগের কারণে আমার পাটের গাছগুলা আর কোনোদিনও ভালো দেখতে হইবো না।,Black Band of Jute
"আমার পাটের কাণ্ড সব কালা হইয়া এমন হইছে যে, আর কোনো কিছুই করার মতো অবস্থায় নাই।",Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই হারায়া যাইবো।,Black Band of Jute
আমার পাটের গাছগুলার সবগুলাই সমানভাবে দুর্বল হইয়া গেছে।,Black Band of Jute
এই কালো পট্টি রোগটা আমার সব মান সম্মানই নষ্ট কইরা দিলো।,Black Band of Jute
আমার পাটের কাণ্ড দেইখা মনে হইতাছে এইবার আর দেনা করা ছাড়া কোনো পথ নাই।,Black Band of Jute
এই কালা দাগ রোগটা কি পাটের এই জাতটারই কোনো সমস্যা?,Black Band of Jute
আমার পাটের এই কালা দাগ রোগটা কি পাটের সব জাতকেই সমানভাবে নষ্ট করে?,Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই শেষ হইয়া যাইবো।,Black Band of Jute
"এইমাত্র রাতের খাবার শেষ করলাম, কিন্তু আমার পাটের কালা দাগের চিন্তা মাথা থেইকা যাইতাছে না।",Black Band of Jute
"আমার তোষা পাটের কাণ্ডে যে কালা দাগ, সেইখানটা হাত দিলে খসখসে লাগে।",Black Band of Jute
এই কালো পট্টি রোগে আমার পাটের আঁশের মান একদম কইমা যাইবো। 😫,Black Band of Jute
"পাট গাছের কাণ্ডটা মট কইরা ভাইঙ্গা গেলো, দেহি ভিতরেও পুরা কালা।",Black Band of Jute
আমার খেতের জায়গায় জায়গায় পাট গাছ সব কালা দাগে ভইরা গেছে।,Black Band of Jute
এইবার আমার পাটের আঁশের রঙটা এই কালা দাগের কারণে লালচে হইয়া যাইবো।,Black Band of Jute
আমার পাটের পাতার ডাঁটাতেও দেখি ছোট ছোট কালা দাগ দেখা যাইতাছে।,Black Band of Jute
এই কালো দাগওয়ালা পাট জাগ দিলে কি আঁশটা ভালো হইবো? 🤔,Black Band of Jute
আমার পাটের জমিতে এই কালা দাগওয়ালা রোগটা বাতাসের সাথে ছড়াইতাছে মনে হয়।,Black Band of Jute
"পাশের জমির পাট কত সবুজ, আর আমার পাটের কাণ্ড সব কালা হইয়া রইছে।",Black Band of Jute
"পাটের নতুন ডগাগুলো সবুজ, কিন্তু কাণ্ডের নিচের দিকটা সব কালা পট্টিতে ভরা।",Black Band of Jute
"আমার পাট গাছগুলার শক্তি একদম কইমা গেছে, কাণ্ডগুলা সব ভঙ্গুর।",Black Band of Jute
এই কালো পট্টি রোগটা আমার পাটের সব বাড়ন আটকায়া দিতাছে।,Black Band of Jute
আমার পাটের জমিতে এই কালা দাগওয়ালা গাছগুলা দেখতে খুব বিশ্রী লাগে।,Black Band of Jute
"এইবার আমার পাটের কাণ্ডে এমন কালা দাগ হইছে যে, আঁশের আর কোনো দামই পামু না।",Black Band of Jute
"আমার এক কোণার জমির পাট ভালো, বাকি সব পাট এই রোগে আক্রান্ত।",Black Band of Jute
"পাটের আঁশ তো দূরের কথা, গাছগুলাই তো কাটার আগে ভাইঙ্গা পড়তাছে।",Black Band of Jute
আমার পাটের কাণ্ড দেইখা মনে হইতাছে কেউ পোড়া মবিল মাখাইয়া দিছে।,Black Band of Jute
এই কালা দাগ কি আমার পাটের সব পুষ্টি চুইষা নিতাছে? গাছ সব ফ্যাকাসে।,Black Band of Jute
আমার পাটের এই অবস্থা দেইখা মনে হইতাছে এইবার আর দেনা শোধ হইবো না। 😥,Black Band of Jute
আমার পাটের চারা অবস্থাতেই গাছগুলার কাণ্ডে এই দাগ আসা শুরু হইছিলো।,Black Band of Jute
"এই কালো পট্টি রোগটা কি জমির দোষে হয়, নাকি বীজের দোষে?",Black Band of Jute
"আমার পাটের কাণ্ড সব এমন কালা হইছে যে, আর সবুজ অংশ খুঁজেই পাওয়া যায় না।",Black Band of Jute
এইবার আমার পাটের ফলন অর্ধেকও হইবো না মনে হয় এই কালা দাগের কারণে।,Black Band of Jute
আমার পাটের জমিতে এই কালা রোগটা গোল গোল চাক হইয়া ছড়াইছে।,Black Band of Jute
পাটের কাণ্ডে কালা দাগ হওয়ার সাথে সাথে গাছগুলার পাতাও হলুদ হইয়া যাইতাছে।,Black Band of Jute
আমার পাটের এই কালো পট্টি রোগ দেইখা গ্রামের কৃষি অফিসারও কোনো বুদ্ধি দিতে পারলো না।,Black Band of Jute
"এই রোগটা কি খালি পাটের ডাঁটাতেই হয়, নাকি শিকড়েও হইতে পারে?",Black Band of Jute
"আমার পাটের কাণ্ড এমনভাবে কালা হইছে যে, আর কোনো ওষুধেই কাজ হইতাছে না।",Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার ভাগ্যটাই কালা।,Black Band of Jute
"আমার পাটের গাছগুলার মইধ্যে দুই একটা ভালো, বাকি সবগুলার কাণ্ডেই এই কালা পট্টি।",Black Band of Jute
এই কালো পট্টি রোগটা আমার সব পরিশ্রমকেই পানিতে মিশাইয়া দিলো।,Black Band of Jute
আমার পাটের কাণ্ড দেইখা মনে হইতাছে এইবার আর ছেলেমেয়ের পড়ার খরচ চালানোই মুশকিল। 😟,Black Band of Jute
"এই রোগটা কি দিনের বেলা রোদে বাড়ে, নাকি রাইতের বেলা বাড়ে?",Black Band of Jute
আমার পাটের এই কালা দাগ রোগটা কি অতিরিক্ত সেচের কারণে হইছে?,Black Band of Jute
এইবার আমার পাটের এই অবস্থা দেইখা মনে হইতাছে আমার সব স্বপ্নই শেষ।,Black Band of Jute
"আমার পাটের জমিতে এইবার এই কালা দাগওয়ালা গাছ এত বেশি যে, দেখলেই মন খারাপ হইয়া যায়।",Black Band of Jute
এই কালো পট্টি রোগের কারণে আমার পাটের আঁশগুলা সব ছিঁড়া ছিঁড়া যাইবো।,Black Band of Jute
"আমার পাটের কাণ্ড সব কালা হইয়া এমন হইছে যে, আর কোনো আশাই দেখতাছি না। 😭",Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই শেষ।,Black Band of Jute
আমার পাটের গাছগুলার বাড়ন দেইখা মনে হয় যেনো কেউ অভিশাপ দিয়া রাখছে।,Black Band of Jute
এই কালো পট্টি রোগটা আমার সব লাভকেই শেষ কইরা দিলো।,Black Band of Jute
আমার পাটের কাণ্ড দেইখা মনে হইতাছে এইবার আর নতুন কিছুই কেনা হইবো না।,Black Band of Jute
এই কালা দাগ রোগটা কি অন্য কোনো ফসলের খেত থেইকা আসতে পারে?,Black Band of Jute
আমার পাটের এই কালা দাগ রোগটা কি মাটির দোষে হয়?,Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই নষ্ট হইয়া গেলো।,Black Band of Jute
"আমার পাটের জমিতে এইবার এই কালা দাগওয়ালা গাছ এত বেশি যে, আর কোনো উপায়ই নাই।",Black Band of Jute
এই কালো পট্টি রোগের কারণে আমার পাটের গাছগুলা আর কোনোদিনও শক্ত হইতে পারবো না।,Black Band of Jute
"আমার পাটের কাণ্ড সব কালা হইয়া এমন হইছে যে, আর কোনো কিছুই করার মতো অবস্থায় নাই।",Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই হারায়া যাইবো।,Black Band of Jute
আমার পাটের গাছগুলার সবগুলাই সমানভাবে কালা দাগে আক্রান্ত।,Black Band of Jute
এই কালো পট্টি রোগটা আমার সব সম্মানই নষ্ট কইরা দিলো।,Black Band of Jute
আমার পাটের কাণ্ড দেইখা মনে হইতাছে এইবার আর ঋণ করা ছাড়া কোনো পথই নাই। 😫,Black Band of Jute
এই কালা দাগ রোগটা কি পাটের এই জাতটার কোনো দুর্বলতা?,Black Band of Jute
আমার পাটের এই কালা দাগ রোগটা কি পাটের সব জাতকেই সমানভাবে ধরে?,Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই শেষ হইয়া যাইবো।,Black Band of Jute
"আমার পাটের জমিতে এইবার এই কালা দাগওয়ালা গাছ এত বেশি যে, আর কোনো কিছুই করার মতো অবস্থায় নাই।",Black Band of Jute
এই কালো পট্টি রোগের কারণে আমার পাটের গাছগুলা আর কোনোদিনও ভালো দেখতে হইবো না।,Black Band of Jute
এই কালা দাগ রোগটা কি পাটের এই জাতটারই কোনো সমস্যা?,Black Band of Jute
আমার পাটের এই কালা দাগ রোগটা কি পাটের সব জাতকেই সমানভাবে নষ্ট করে?,Black Band of Jute
এইবার আমার পাটের এই রোগ দেইখা মনে হইতাছে আমার সব কিছুই শেষ হইয়া যাইবো।,Black Band of Jute
"আমার পাটের জমিতে এইবার এই কালা দাগওয়ালা গাছ এত বেশি যে, আর কোনো কিছুই করার মতো অবস্থায় নাই।",Black Band of Jute
"এই বর্ষার সন্ধ্যায় বইসা ভাবতাছি, গত শীতে আমার আলু গাছের নিচের পাতাগুলো কেমনে হলুদ হইয়া গেছিলো।",Early Blight of Potato
"আমার মনে আছে, আলু গাছের পাতায় গোল গোল ছাপের মইধ্যে আরও গোল গোল রিং আছিলো।",Early Blight of Potato
"গতবার আমার আলু খেতে যে আগাম ধ্বসা রোগটা হইছিলো, সেইটার কথা ভাবলে এইবার আলু লাগাইতে ভয় করতাছে। 😫",Early Blight of Potato
"আমার আলু গাছের উপরের পাতাগুলো সবুজ থাকলেও, নিচের দিকের সব পাতা হলুদ হইয়া ঝইরা গেছিলো।",Early Blight of Potato
গত মৌসুমে আমার আলুর ডগাতেও দেখি ছোট ছোট কালো দাগ পইড়া গেছিলো।,Early Blight of Potato
"আমার আলু তোলার পর দেহি, কয়েকটা আলুর গায়ে গোল গোল শুকনো দাগ।",Early Blight of Potato
এইবার কি বারি-৪১ আলু লাগামু? শুনছি এই জাতে নাকি পাতা ঝরা রোগটা কম হয়। 🤔,Early Blight of Potato
"আমার আলু খেতের পাতা এমনভাবে হলুদ হইছিলো যে, মনে হইতাছিলো গাছ বুড়া হইয়া গেছে।",Early Blight of Potato
"গতবার আমার আলু খেতে যে পাতা ঝরা রোগটা হইছিলো, তাতে আলুর সাইজ বেশি বড় হয় নাই।",Early Blight of Potato
আমার অ্যাস্টারিক্স আলুর পাতায় ঐ গোল গোল টার্গেট দাগটা বেশি দেখা গেছিলো।,Early Blight of Potato
"আমার আলু গাছের বয়স যখন মাস দুই, তখন থেইকাই নিচের পাতা হলুদ হওয়া শুরু হইছিলো।",Early Blight of Potato
"আমার আলুর পাতায় প্রথমে ছোট ছোট বাদামী দাগ হইছিলো, পরে সেই দাগগুলার চারিদিকে হলুদ হইয়া গেছিলো।",Early Blight of Potato
"আলুর এই আগাম ধ্বসা রোগটা এত धीरे (ধীরে) ছড়াইছিলো যে, প্রথমে বুঝতেই পারি নাই।",Early Blight of Potato
"আমার এখনো মনে আছে, আলু খেতের নিচের দিকের পাতা সব শুকায়া মরমর করতাছিলো।",Early Blight of Potato
"গতবার আলু তোলার পর দেহি, কয়েকটা আলুর গায়ে বসা দাগ, আর ওই জায়গাটা একটু শক্ত। 😥",Early Blight of Potato
"আমার আলুর পাতা সব এমনভাবে ঝইরা গেছিলো যে, শুধু ডগাটাই খাড়া আছিলো।",Early Blight of Potato
এইবার আলু লাগানোর সময় কি পটাশ সার বেশি দিলে এই পাতা হলুদ হওয়া কম হইবো?,Early Blight of Potato
"আমার আলুর ডগায় যে দাগগুলা হইছিলো, সেইগুলা বেশি বড় হয় নাই, কিন্তু গাছটারে দুর্বল কইরা দিছিলো।",Early Blight of Potato
"গতবার আমার আলু খেতে যে ক্ষতিটা হইছিলো, সেইটা ফলন কইমা যাওয়ার কারণেই হইছিলো।",Late Blight of Potato
"আমার আলুর পাতায় যে গোল দাগটা হইছিলো, সেইটা দেখতে ঠিক বন্দুকের টার্গেটের মতো।",Early Blight of Potato
"এইবার শীতেও যদি গতবারের মতো আবহাওয়া থাকে, তাইলে আমার আলুর নিচের পাতা বাঁচানোই কঠিন হইবো।",Early Blight of Potato
"আমার আলুর কাণ্ডে যে দাগগুলা হইছিলো, সেইগুলা শুকনা আর বসা দাগ আছিলো।",Early Blight of Potato
গত মৌসুমে আমার আলু খেতটা এই আগাম ধ্বসা রোগের কারণে দেখতে খুব খারাপ লাগতো।,Early Blight of Potato
"আমার আলুর পাতার গোল দাগের চারিদিকে যে হলুদ রিংটা হইছিলো, সেইটাই কি রোগের চিহ্ন?",Early Blight of Potato
এইবার আলু লাগানোর আগে জমিটা ভালো কইরা শুকায়া নিমু ভাবতাছি।,Early Blight of Potato
"আমার আলু খেতের পাতা সব এমনভাবে হলুদ হইছিলো যে, খেতটাই ফ্যাকাশে লাগতো।",Early Blight of Potato
"গতবার আমার আলু খেতে যে রোগটা হইছিলো, সেইটারে নাকি ছোট ধ্বসাও কয়।",Early Blight of Potato
"আমার আলুর ডগা পইচা না গেলেও, দাগের কারণে গাছটা ঠিকমতো বাড়তে পারে নাই।",Early Blight of Potato
"আমার আলু তোলার পর দেহি, ভালো আলুর সাথে কিছু দাগওয়ালা আলুও মিশে আছে। 😭",Early Blight of Potato
"গতবার আমার আলু খেতটা দেইখা মনে হইছিলো, গাছের বয়স সময়ের আগেই বাইড়া গেছে।",Early Blight of Potato
এইবার আলু লাগানোর সময় কি কপার গ্রুপের ওষুধ স্প্রে করলে এই দাগ কম হইবো?,Early Blight of Potato
আমার আলুর কাণ্ডের দাগগুলা পাতার দাগের মতোই গোল গোল আছিলো।,Early Blight of Potato
"গত মৌসুমে আমার আলু খেতে যে পাতা ঝরা রোগটা হইছিলো, সেইটার কথা এখনো ভুলি নাই।",Early Blight of Potato
আমার আলুর পাতার নিচে হাত দিলে খসখসে লাগতো ঐ দাগের কারণে।,Early Blight of Potato
এইবার আলু লাগানোর আগে থেকেই আমার খুব চিন্তা হইতাছে এই আগাম ধ্বসা নিয়া।,Early Blight of Potato
"আমার আলু খেতের পাতা সব এমনভাবে হলুদ হইয়া গেছিলো যে, আর কোনো কিছুই করার আছিলো না।",Early Blight of Potato
"গতবার আমার আলু খেতে যে রোগটা হইছিলো, সেইটা আমার আলুর বাড়-বাড়ন্তই কমাইয়া দিছিলো।",Early Blight of Potato
"আমার আলুর ডগায় যে দাগগুলা হইছিলো, সেইগুলা খুব বেশি ছড়ায় নাই।",Early Blight of Potato
"আমার আলু তোলার পর দেহি, আলুর গায়ে গোল গোল শুকনো ক্ষতের মতো দাগ।",Early Blight of Potato
"গতবার আমার আলু খেতটা দেইখা মনে হইছিলো, গাছের নিচের দিকের শক্তি সব শেষ হইয়া গেছে।",Early Blight of Potato
এইবার আলু লাগানোর সময় কি বীজ আলুটা ভালো কইরা দেইখা লাগাইতে হইবো?,Early Blight of Potato
"আমার আলুর কাণ্ডগুলা দুর্বল না হইলেও, পাতাগুলা সব ঝইরা গাছটারে ন্যাড়া কইরা দিছিলো।",Early Blight of Potato
"গত মৌসুমে আমার আলু খেতে যে পাতা ঝরা রোগটা হইছিলো, সেইটা আমার লাভের একটা অংশ কাইড়া নিছে। 😟",Early Blight of Potato
আমার আলুর পাতার গোল দাগগুলা কি মেঘলা আবহাওয়ায় বেশি বাড়তো?,Early Blight of Potato
এইবার আলু লাগানোর আগে থেকেই আমার এই আগাম ধ্বসার ভয়টা কাজ করতাছে।,Early Blight of Potato
"আমার আলু খেতের পাতা সব এমনভাবে শেষ হইছিলো যে, খেতটাই ফাঁকা ফাঁকা লাগতো।",Early Blight of Potato
"গতবার আমার আলু খেতে যে রোগটা হইছিলো, সেইটা আমার আলুর সাইজ বড় হইতে দেয় নাই।",Early Blight of Potato
"আমার আলুর ডগায় যে দাগগুলা হইছিলো, সেইগুলা পাতার দাগের থেইকা ছোট আছিলো।",Early Blight of Potato
"আমার আলু তোলার পর দেহি, অনেক আলুই বাইরে থেইকা ভালো কিন্তু গায়ে গোল গোল ছাপ।",Early Blight of Potato
"গতবার আমার আলু খেতটা দেইখা মনে হইছিলো, গাছগুলা সময়ের আগেই বুড়া হইয়া মইরা যাইতাছে।",Late Blight of Potato
এইবার আলু লাগানোর সময় কি অন্য কোনো কোম্পানির বীজ লাগাইয়া দেখা উচিত?,Early Blight of Potato
আমার আলুর কাণ্ডের দাগের কারণে গাছটা একটু দুর্বল হইয়া গেছিলো।,Early Blight of Potato
"গত মৌসুমে আমার আলু খেতে যে আগাম ধ্বসা হইছিলো, সেইটা আমার সব স্বপ্নকেই একটু কমাইয়া দিছিলো।",Early Blight of Potato
"আমার আলুর পাতার গোল দাগের মইধ্যে যে রিংগুলা আছিলো, সেইগুলা কি রোগের চিহ্ন?",Early Blight of Potato
এইবার আলু লাগানোর আগে থেকেই আমার মনে একটা অশান্তি কাজ করতাছে।,Early Blight of Potato
"আমার আলু খেতের পাতা সব এমনভাবে ঝইরা গেছিলো যে, মাটি দেখা যাইতো।",Early Blight of Potato
"গতবার আমার আলু খেতে যে রোগটা হইছিলো, সেইটা আমার সব সম্মান নষ্ট করে নাই, কিন্তু লাভ কমাইছে। 😫",Early Blight of Potato
"আমার আলুর ডগাগুলার তেমন ক্ষতি হয় নাই, কিন্তু পাতাগুলা সব শেষ হইছিলো।",Early Blight of Potato
"আমার আলু তোলার পর দেহি, আলুর গায়ে গোল গোল দাগের কারণে দাম কম পাইছিলাম।",Early Blight of Potato
"গতবার আমার আলু খেতটা দেইখা মনে হইছিলো, গাছগুলার নিচের দিকটা কেউ শুকায়া দিছে।",Early Blight of Potato
এইবার আলু লাগানোর সময় কি নতুন কোনো ছত্রাকনাশক স্প্রে কইরা দেখমু?,Early Blight of Potato
"আমার আলুর কাণ্ডের দাগগুলা খুব বেশি ছড়ায় নাই, পাতাতেই বেশি আছিলো।",Early Blight of Potato
"গত মৌসুমে আমার আলু খেতে যে পাতা ঝরা রোগ হইছিলো, সেইটা আমার মনের জোর কমাইয়া দিছে।",Early Blight of Potato
"আমার আলুর পাতার নিচে তেমন কোনো ছত্রাক দেখছিলাম না, খালি উপরেই দাগ আছিলো।",Early Blight of Potato
এইবার আলু লাগানোর আগে থেকেই আমার খুব দুশ্চিন্তায় দিন কাটতাছে।,Early Blight of Potato
"আমার আলু খেতের পাতা সব এমনভাবে শেষ হইছিলো যে, আর কোনো কিছুই অবশিষ্ট আছিলো না।",Early Blight of Potato
"গতবার আমার আলু খেতে যে রোগটা হইছিলো, সেইটা আমার আলুর মান কমাইয়া দিছিলো।",Early Blight of Potato
"আমার আলুর ডগাগুলার কোনো ক্ষতি না হইলেও, পাতা ঝইরা যাওয়ায় মনটা খারাপ হইছিলো।",Early Blight of Potato
"আমার আলু তোলার পর দেহি, অনেক আলুই কাটার সময় গায়ে গোল গোল দাগ পাওয়া গেছে।",Early Blight of Potato
"গতবার আমার আলু খেতটা দেইখা মনে হইছিলো, গাছগুলার বয়স বুঝি আমার থেইকাও বেশি।",Early Blight of Potato
এইবার আলু লাগানোর সময় কি নতুন কোনো জাতের আলু লাগাইলে এই আগাম ধ্বসা থেইকা বাঁচা যাইবো? 🤔,Early Blight of Potato
"আমার আলুর কাণ্ডগুলা ভালোই আছিলো, কিন্তু পাতাগুলা সব ঝইরা গেছিলো।",Early Blight of Potato
"গত মৌসুমে আমার আলু খেতে যে রোগ হইছিলো, সেইটা আমার লাভের উপরে একটা বড় দাগ লাগাইছে।",Early Blight of Potato
আমার আলুর পাতার গোল দাগগুলা কি পানি দিলেও যাইতো না?,Early Blight of Potato
এইবার আলু লাগানোর আগে থেকেই আমার মনটা খুব চিন্তিত হইয়া আছে।,Late Blight of Potato
"আমার আলু খেতের পাতা সব এমনভাবে ঝইরা গেছিলো যে, আর কোনো কিছুই করার মতো অবস্থায় আছিলো না।",Early Blight of Potato
আলু গাছের তলার পাতাগুলার মইধ্যে গোল গোল ছাপ পইড়া বাদামী হইছে।,Early Blight of Potato
"আমার আলুর পাতার মইধ্যে গোল গোল দাগ, আর দাগের ভিতরেও আরেকটা গোল ছাপ। এইডা কি রোগ?",Early Blight of Potato
আমার আলু চারার বয়স মাস খানেক। নিচের দিকের পাতায় দেহি সব কালা কালাจุด (দাগ) হইছে।,Early Blight of Potato
"এই দাগগুলা খালি আমার আলুর নিচের পাতায় হয়, উপরের পাতা ভাল থাকে।",Early Blight of Potato
আমার আলু গাছের পাতা সব হলুদ হইয়া যাইতেছে।,Early Blight of Potato
এই আলুর আগাম ধ্বসা কি সার কম দেওয়ার জন্য হয়?,Early Blight of Potato
"আলু গাছে ম্যানকোজেব দিছিলাম, তাও দেখি দাগ যায় না।",Early Blight of Potato
আলু গাছ মরে না কিন্তু পাতা সব ঝইরা যাইতাছে।,Early Blight of Potato
"আলু তোলার আর বেশি দিন নাই, এই সময় আলুর পাতায় দাগ ধরছে।",Early Blight of Potato
"এই বর্ষার রাইতে বইসা গত শীতের আলুর কথা ভাবলে, ঐ পাতার গোল গোল দাগগুলা চোখে ভাসে।",Early Blight of Potato
"আমার মনে আছে, আলু গাছের পাতায় যে দাগগুলা হইছিলো, দেখতে ঠিক পয়সার মতো গোল গোল।",Early Blight of Potato
"গতবার আমার আলু খেতে যে আগাম ধ্বসা হইছিলো, সেইটার কারণে আলুর সাইজ সব ছোট ছোট হইছিলো। 😫",Early Blight of Potato
আমার আলু গাছের নিচের পাতা একটা একটা কইরা হলুদ হইয়া ঝইরা পড়ছিলো।,Early Blight of Potato
গত মৌসুমে আমার আলুর কাণ্ডেও দেখি ছোট ছোট গোল গোল শুকনো দাগ হইছিলো।,Early Blight of Potato
"আলু তোলার পর দেহি, গায়ে গোল গোল হইয়া চামড়াটা উইঠা রইছে।",Early Blight of Potato
এইবার কি ক্যারোলাস আলু লাগামু? শুনছি এই জাতে নাকি পাতা ঝরা রোগটা একেবারেই হয় না। 🤔,Early Blight of Potato
আমার আলু খেতের নিচের পাতা সব ঝইরা যাওয়ায় গোড়া পুরাই ফাঁকা হইয়া গেছিলো।,Early Blight of Potato
"গতবার আমার আলু খেতে যে পাতা ঝরা রোগটা হইছিলো, তাতে গাছ দেখতে খুব দুর্বল লাগতো।",Early Blight of Potato
আমার কার্ডিনাল আলুর পাতায় ঐ গোল গোল টার্গেটের মতো দাগটা বেশি আছিলো।,Early Blight of Potato
"আমার আলু গাছের বয়স যখন চল্লিশ দিন, তখন থেইকাই নিচের পাতা হলুদ হওয়া শুরু করছিলো।",Early Blight of Potato
"আমার আলুর পাতায় প্রথমে ছোট ছোট কালচে দাগ হইছিলো, পরে সেই দাগগুলার চারিদিকে একটা হলদে ভাব আসছিলো।",Early Blight of Potato
"আলুর এই আগাম ধ্বসা রোগটা এত আস্তে আস্তে হয় যে, খেয়াল না করলে বোঝাই যায় না।",Early Blight of Potato
"আমার এখনো মনে আছে, আলু খেতের নিচের দিকের পাতা সব শুকায়া মচমচে হইয়া থাকতো।",Early Blight of Potato
গতবার ঐ দাগওয়ালা আলু সিদ্ধ করলে কেমন জানি একটা স্বাদ লাগতো। 😥,Early Blight of Potato
"আমার আলুর পাতা সব এমনভাবে ঝইরা গেছিলো যে, শুধু উপরের কয়েকটা পাতা বাদে আর কিছুই আছিলো না।",Early Blight of Potato
এইবার আলু লাগানোর সময় কি জিপসাম সার দিলে এই পাতা হলুদ হওয়া কমতে পারে?,Early Blight of Potato
"আমার আলুর ডগায় যে দাগগুলা হইছিলো, সেইগুলা বেশি বড় না হইলেও, গাছটারে কেমন জানি অসুস্থ বানায়া দিছিলো।",Early Blight of Potato
"গতবার আমার আলু খেতে যে ক্ষতিটা হইছিলো, সেইটা ফলন প্রায় বিশ ভাগ কমাইয়া দিছিলো।",Early Blight of Potato
"আমার আলুর পাতায় যে গোল দাগটা হইছিলো, সেইটার রিংগুলা এত স্পষ্ট যে, দেইখা মনে হইতো কেউ আঁকছে।",Early Blight of Potato
"এইবার শীতেও যদি গতবারের মতো রোদ কম থাকে, তাইলে আমার আলুর নিচের পাতা ঝইরা যাওয়ার ভয় আছে।",Early Blight of Potato
"আমার আলুর কাণ্ডে যে দাগগুলা হইছিলো, সেইগুলা পাতার দাগের থেইকাও বেশি কালো আছিলো।",Early Blight of Potato
গত মৌসুমে আমার আলু খেতটা এই আগাম ধ্বসা রোগের কারণে অর্ধেক বয়সেই বুড়া হইয়া গেছিলো।,Early Blight of Potato
"আমার আলুর পাতার গোল দাগের চারিদিকে যে হলুদ আভাটা আছিলো, সেইটাই কি রোগের আসল চিহ্ন?",Early Blight of Potato
এইবার আলু লাগানোর আগে জমিটা ভালো কইরা চাষ দিয়া রোদে শুকায়া নিমু ভাবতাছি।,Early Blight of Potato
"আমার আলু খেতের পাতা সব এমনভাবে হলুদ হইছিলো যে, খেতটারে আর সবুজ বলাই যাইতো না।",Early Blight of Potato
"গতবার আমার আলু খেতে যে রোগটা হইছিলো, সেইটারে নাকি 'লিফ স্পট'ও কয়।",Early Blight of Potato
"আমার আলুর ডগা ভালো থাকলেও, পাতা ঝইরা যাওয়ায় গাছ আর ঠিকমতো খাবার বানাইতে পারে নাই।",Early Blight of Potato
"আমার আলু তোলার পর দেহি, ভালো আলুর সাথে কিছু গায়ে ছাপ পড়া আলুও মিশে আছে। 😭",Early Blight of Potato
"গতবার আমার আলু খেতটা দেইখা মনে হইছিলো, গাছের নিচের দিকের সব পাতা কেউ ছিঁড়া নিয়া গেছে।",Early Blight of Potato
এইবার আলু লাগানোর সময় কি রোভরাল স্প্রে করলে এই গোল দাগ কম হইবো?,Early Blight of Potato
